,location,iso_code,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,CFR,GHSI,WGI,ï..iso_code,continent,Obesity_rate,RS
34,Georgia,GEO,5/15/2023,2,0,0,0,0,0,0,0.534,0,0,0,0,0,52,0.25,GEO,Asia,21.7,57
39,Greenland,GRL,5/15/2023,2,0,0,0,0,0,0,35.402,0,0,0,0,0,NA,1.31, , ,NA,NA
41,Guyana,GUY,5/15/2023,2,0,0,0,0,0,0,2.473,0,0,0,0,0,31.7,0.26,GUY,South America,20.2,NA
56,Moldova,MDA,5/15/2023,2,0,0,0,0,0,0,0.611,0,0,0,0,0,42.9,-0.11,MDA,Europe,18.9,NA
58,Montenegro,MNE,5/15/2023,2,0,0,0,0,0,0,3.189,0,0,0,0,0,43.7,0.08,MNE,Europe,23.3,NA
71,Russia,RUS,5/15/2023,2,0,0,0,0,0,0,0.014,0,0,0,0,0,44.3,-1.06,RUS,Europe,23.1,NA
6,Barbados,BRB,5/15/2023,1,0,0,0,0,0,0,3.551,0,0,0,0,0,31.9,1.12,BRB,North America,23.1,NA
9,Bermuda,BMU,5/15/2023,1,0,0,0,0,0,0,15.575,0,0,0,0,0,NA,NA,BMU,North America,NA,NA
59,Mozambique,MOZ,5/15/2023,1,1,0,0,0,0,0,0.03,0,0,0.03033,0,100,28.1,-0.47, , ,7.2,47
72,San Marino,SMR,5/15/2023,1,0,0,0,0,0,0,29.682,0,0,0,0,0,31.1,1.15,SMR,Europe,NA,NA
